19600101	20211201		744	21
ID	NODATA_VALUE	南雄	连州	韶关	佛冈	高要	广州	河源	惠阳	紫金	汕头	惠来	南澳	信宜	罗定	台山	中山	深圳	阳江	电白	上川岛	徐闻
94	-9999	9.2	7.4	34.2	3.5	5.9	2.5	2.9	5.6	5.2	12.6	0.7	18.5	2.5	31.6	32.4	10.9	16.5	37.7	22.9	420.5	65.5
95	-9999	26	30.4	21	22.4	75.4	6.5	2.8	3.7	1.8	3.7	3.5	9.8	127.1	10.3	51.8	55.5	9.7	58.9	109.3	18.3	50.6
96	-9999	38.7	56.2	38.4	15.2	22.9	8.1	5.4	1.5	2.2	0.8	0.3	3.2	28.2	37	8.8	6.9	1.9	14.1	15.4	2.4	8
97	-9999	28.4	31.5	28.5	14.3	12.1	2.6	5.7	7.3	11.5	22.5	9.8	15.4	14.6	8.2	6.4	9.8	5.5	9.5	12	6.2	1.6
98	-9999	85.1	77.8	85.9	138.7	83	110.8	162.1	107.9	140.9	134.1	92.5	127.3	64.6	89.1	104.9	110.8	107.4	106.4	113.1	107.2	35.2
99	-9999	150.1	98.8	191.4	155	145.9	142.9	165.1	207.4	140.8	140.3	181.2	146.9	117.1	112.5	118.5	115.2	131	140	116.7	168.7	97.9
100	-9999	111.9	249.1	127.8	79.9	114.6	90.5	41.2	44	24.9	20.6	7.8	5.6	155.2	84.7	26.5	34.2	12.3	47.1	68.6	30.7	25.1
101	-9999	138.9	243.9	170.4	335.7	203.9	154	417.1	305.4	242.4	169.5	409.6	138.4	384.1	287.4	466	258.3	209.3	247.7	180.2	365.5	104.1
102	-9999	366.4	438.5	357.8	1039	249.6	280.8	1141	404	639.4	475.6	812.7	370.7	740.8	308.7	281.2	247.3	389.2	347.1	144.9	214.4	80.9
103	-9999	173	149.6	197.6	238	139.9	176.2	218.8	75.3	124.6	280.3	372.3	312	182.8	96.4	171.3	131.7	207.4	81.3	157.3	145.4	154.9
104	-9999	239	200	170.3	350.8	365.6	248.7	171.3	318.6	279.9	189.7	274.7	114.3	258	283.7	360.5	372.1	664.7	506.7	327.3	591.5	296.3
105	-9999	17	74.1	4.9	24	60.8	21.3	81.5	79.4	28.5	32.4	134.6	144.9	20.6	53.3	39.3	40.7	64.3	20.8	133.3	96.3	356.3
106	-9999	17.2	2.2	10.9	1.5	26	33	27.8	5	15.8	138.6	207.5	265.8	22.2	7.6	42.9	165.6	51.2	55.1	46.7	84.4	27.3
107	-9999	22.3	16.6	3.4	27.8	31.4	36.2	6	7.7	0.7	1.9	0.5	0.6	35.5	31.3	13.9	29.7	18	52.5	25.1	33	19.7
108	-9999	31.1	36.1	31.7	44.3	21.7	23.5	45.7	18.7	46.8	46	63.5	25.5	21	13.2	13.7	20.6	31.9	42	15.6	25.6	4.1
109	-9999	151.3	115.2	164.7	216.2	216.6	202.1	203.4	120.1	173.1	84	72.6	73.2	140.4	150.2	164.9	165.4	89.2	198.1	132	88.7	55.5
110	-9999	93.5	33.4	94.1	73	30.9	38.6	72.1	27.7	36.7	45.3	31.3	46.2	18.3	18.8	25.1	29	40.6	41.5	27.7	32.4	5.5
111	-9999	210.1	109.6	175.8	210.4	72.5	70.3	155.3	102	194.4	124.4	128.2	115.5	73.3	62.2	91.5	83.9	52.3	213.1	77.6	160.2	69.4
112	-9999	134.5	150.3	126.7	171	168.1	138.7	86.7	114.4	66.1	52.5	43.5	51.1	350.8	94.8	351.3	130.6	109.4	343.9	207.8	421	77
113	-9999	235.9	207.5	284.7	731.8	346.5	275.8	552.9	293.8	464.6	206.2	394.7	254.7	391.4	206.8	144.6	213.4	193.4	244.8	170.7	408.6	37.4
114	-9999	181.1	102.7	143.5	215.2	184	284.2	139	189.9	195.8	291.9	303.3	310.5	246.9	222.2	406.2	331.2	286	530.7	185.3	553.3	169.4
115	-9999	32.4	135.7	69.4	187.8	316	264.4	216.7	310.1	170.3	217.2	551.2	123.9	409.3	222.9	334.4	201	483.8	349.7	405.7	184.8	112.2
116	-9999	105.2	93.7	75.2	221.1	295.2	106.4	177	186.5	252.2	232.5	217.2	128.6	304.5	118.8	273	120	208.3	105.5	147.3	117.4	35.9
117	-9999	32.1	15.6	69.1	81.9	72.5	28.9	49.5	55.5	110.3	63.7	59.9	107.7	39.6	39.8	61.6	61.6	45.2	85.2	90	126.9	269.8
118	-9999	118.4	228.1	166.5	137.7	59.5	26.7	67.3	8.9	32.4	17.5	11.8	26.7	83.6	46.4	25.5	16	21	42.9	105.2	486.8	26.1
119	-9999	26.2	41.2	25.2	10.7	4.1	3.8	6.1	0.4	1.2	0.7	0.1	42.1	5.1	5.4	0	0.5	0.1	3.5	0.3	4.6	0.2
120	-9999	16.9	5	13.5	10.8	2.7	4	9.3	3.1	0.5	1.1	0.5	11.8	4.6	0.2	0	1.1	0.3	2.7	4.2	0.1	1.1
121	-9999	104.5	118.3	102.6	111.1	46.4	51	59.6	21.8	52.8	19.4	13.7	20.3	43.7	36.9	17.7	20	14.2	34.6	35.9	60	1.7
